ID,Prob_0,Prob_1
95,0.9625,0.0375
96,0.9625,0.0375
97,0.9375,0.0625
98,0.95,0.05
99,0.9875,0.0125
100,0.95,0.05
101,0.975,0.025
102,0.9625,0.0375
103,0.975,0.025
104,0.9375,0.0625
105,0.95,0.05
106,0.975,0.025
107,0.9375,0.0625
108,0.975,0.025
109,0.975,0.025
110,0.95,0.05
111,0.975,0.025
112,0.9625,0.0375
113,0.9375,0.0625
114,0.95,0.05
115,0.975,0.025
116,0.95,0.05
117,0.9625,0.0375
118,0.9625,0.0375
119,0.8875,0.1125
120,0.9625,0.0375
121,0.975,0.025
122,0.975,0.025
123,0.975,0.025
124,0.975,0.025
125,0.9625,0.0375
126,0.9625,0.0375
127,0.9625,0.0375
128,0.9625,0.0375
129,0.975,0.025
130,0.95,0.05
131,0.95,0.05
132,0.9375,0.0625
133,0.975,0.025
134,0.95,0.05
135,0.975,0.025
136,0.95,0.05
137,0.975,0.025
138,0.9625,0.0375
139,0.975,0.025
140,0.975,0.025
141,0.95,0.05
142,0.95,0.05
143,0.975,0.025
144,0.95,0.05
145,0.9375,0.0625
146,0.9375,0.0625
147,0.975,0.025
148,0.95,0.05
149,0.975,0.025
150,0.9375,0.0625
151,0.95,0.05
152,0.975,0.025
153,0.9625,0.0375
154,0.9375,0.0625
155,0.95,0.05
156,0.9625,0.0375
157,0.9625,0.0375
158,0.975,0.025
159,0.95,0.05
160,0.975,0.025
161,0.975,0.025
162,0.975,0.025
163,0.975,0.025
164,0.9875,0.0125
165,0.9875,0.0125
166,0.975,0.025
167,0.975,0.025
168,0.9625,0.0375
169,0.95,0.05
170,0.9625,0.0375
171,0.975,0.025
172,0.9875,0.0125
173,0.9875,0.0125
174,0.975,0.025
175,0.9875,0.0125
176,0.975,0.025
177,0.9625,0.0375
178,0.975,0.025
179,0.975,0.025
180,0.9625,0.0375
181,0.95,0.05
182,0.9375,0.0625
183,0.9625,0.0375
184,0.95,0.05
185,0.975,0.025
186,0.9625,0.0375
187,0.975,0.025
188,0.925,0.075
189,0.9625,0.0375
190,0.9375,0.0625
191,0.95,0.05
192,0.9875,0.0125
193,0.95,0.05
194,0.9625,0.0375
195,0.9625,0.0375
196,0.975,0.025
197,0.975,0.025
198,0.9625,0.0375
199,0.975,0.025
200,0.9625,0.0375
201,0.925,0.075
202,0.9625,0.0375
203,0.9375,0.0625
204,0.95,0.05
205,0.975,0.025
206,0.975,0.025
207,0.9625,0.0375
208,0.95,0.05
209,0.9875,0.0125
210,0.9625,0.0375
211,0.925,0.075
212,0.975,0.025
213,0.975,0.025
214,0.95,0.05
215,0.975,0.025
216,0.9625,0.0375
217,0.95,0.05
218,0.975,0.025
219,0.9625,0.0375
220,0.95,0.05
221,0.9625,0.0375
222,0.95,0.05
223,0.9375,0.0625
224,0.9625,0.0375
225,0.975,0.025
226,0.975,0.025
227,0.95,0.05
228,0.975,0.025
229,0.95,0.05
230,0.9375,0.0625
231,0.95,0.05
232,0.95,0.05
233,0.975,0.025
234,0.95,0.05
235,0.975,0.025
236,0.9375,0.0625
237,0.95,0.05
238,0.95,0.05
239,0.9625,0.0375
240,0.95,0.05
241,0.975,0.025
242,0.95,0.05
243,0.9875,0.0125
244,0.9625,0.0375
245,0.9625,0.0375
246,0.975,0.025
247,0.975,0.025
248,0.9625,0.0375
249,0.975,0.025
250,0.975,0.025
251,0.975,0.025
252,0.9625,0.0375
253,0.9625,0.0375
254,0.95,0.05
255,0.975,0.025
256,0.9625,0.0375
257,0.975,0.025
258,0.9625,0.0375
259,0.95,0.05
260,0.975,0.025
261,0.9375,0.0625
262,0.95,0.05
263,0.9625,0.0375
264,0.9375,0.0625
265,0.975,0.025
266,0.9625,0.0375
267,0.975,0.025
268,0.9625,0.0375
269,0.95,0.05
270,0.95,0.05
271,0.9875,0.0125
272,0.9875,0.0125
273,0.975,0.025
274,0.975,0.025
275,0.95,0.05
276,0.95,0.05
277,0.9375,0.0625
278,0.9625,0.0375
279,0.95,0.05
280,0.975,0.025
281,0.9625,0.0375
282,0.975,0.025
283,0.95,0.05
284,0.9625,0.0375
285,0.975,0.025
286,0.9625,0.0375
287,0.975,0.025
288,0.9625,0.0375
289,0.9625,0.0375
290,0.975,0.025
291,0.9625,0.0375
292,0.95,0.05
293,0.975,0.025
294,0.9625,0.0375
295,0.9625,0.0375
296,0.9875,0.0125
297,0.9625,0.0375
298,0.9375,0.0625
299,0.975,0.025
300,0.95,0.05
301,0.95,0.05
302,0.975,0.025
303,0.95,0.05
304,0.975,0.025
305,0.975,0.025
306,0.9875,0.0125
307,0.95,0.05
308,0.975,0.025
309,0.9625,0.0375
310,0.975,0.025
311,0.95,0.05
312,0.975,0.025
313,0.9625,0.0375
314,0.975,0.025
315,0.975,0.025
316,0.9625,0.0375
317,0.9375,0.0625
318,0.975,0.025
319,0.9625,0.0375
320,0.9375,0.0625
321,0.9625,0.0375
322,0.6625,0.3375
323,0.95,0.05
324,0.925,0.075
325,0.95,0.05
326,0.925,0.075
327,0.975,0.025
328,0.9375,0.0625
329,0.975,0.025
330,0.9625,0.0375
331,0.975,0.025
332,0.95,0.05
333,0.9375,0.0625
334,0.925,0.075
335,0.95,0.05
336,0.9625,0.0375
337,0.975,0.025
338,0.9375,0.0625
339,0.975,0.025
340,0.95,0.05
341,0.9125,0.0875
342,0.95,0.05
343,0.9625,0.0375
344,0.925,0.075
345,0.9625,0.0375
346,0.9625,0.0375
347,0.95,0.05
348,0.975,0.025
349,0.975,0.025
350,0.975,0.025
351,0.975,0.025
352,0.975,0.025
353,0.925,0.075
354,0.975,0.025
355,0.9375,0.0625
356,0.95,0.05
357,0.9625,0.0375
358,0.95,0.05
359,0.95,0.05
360,0.95,0.05
361,0.975,0.025
362,0.975,0.025
363,0.975,0.025
364,0.975,0.025
365,0.975,0.025
366,0.975,0.025
367,0.975,0.025
368,0.925,0.075
369,0.9625,0.0375
370,0.9625,0.0375
371,0.9625,0.0375
372,0.9375,0.0625
373,0.9625,0.0375
374,0.9875,0.0125
375,0.95,0.05
376,0.975,0.025
377,0.9875,0.0125
378,0.975,0.025
379,0.975,0.025
380,0.975,0.025
381,0.9875,0.0125
382,0.975,0.025
383,0.95,0.05
384,0.9625,0.0375
385,0.9625,0.0375
386,0.95,0.05
387,0.975,0.025
388,0.9375,0.0625
389,0.975,0.025
390,0.95,0.05
391,0.925,0.075
392,0.95,0.05
393,0.95,0.05
394,0.95,0.05
395,0.9625,0.0375
396,0.975,0.025
397,0.975,0.025
398,0.975,0.025
399,0.9625,0.0375
400,0.95,0.05
401,0.925,0.075
402,0.9625,0.0375
403,0.9625,0.0375
404,0.9375,0.0625
405,0.95,0.05
406,0.95,0.05
407,0.95,0.05
408,0.95,0.05
409,0.9625,0.0375
410,0.95,0.05
411,0.975,0.025
412,0.9875,0.0125
413,0.975,0.025
414,0.975,0.025
415,0.95,0.05
416,0.9375,0.0625
417,0.95,0.05
418,0.95,0.05
419,0.975,0.025
420,0.9,0.1
421,0.9625,0.0375
422,0.925,0.075
423,0.9625,0.0375
424,0.9625,0.0375
425,0.9875,0.0125
426,0.9625,0.0375
427,0.975,0.025
428,0.975,0.025
429,0.975,0.025
430,0.9875,0.0125
431,0.9625,0.0375
432,0.9625,0.0375
433,0.975,0.025
434,0.9875,0.0125
435,0.9625,0.0375
436,0.9625,0.0375
437,0.975,0.025
438,0.975,0.025
439,0.9625,0.0375
440,0.9625,0.0375
441,0.975,0.025
442,0.975,0.025
443,0.9625,0.0375
444,0.975,0.025
445,0.9625,0.0375
446,0.9625,0.0375
447,0.975,0.025
448,0.975,0.025
449,0.95,0.05
450,0.9625,0.0375
451,0.975,0.025
452,0.9625,0.0375
453,0.95,0.05
454,0.95,0.05
455,0.95,0.05
456,0.9625,0.0375
457,0.975,0.025
458,0.975,0.025
459,0.975,0.025
460,0.9625,0.0375
461,0.9625,0.0375
462,0.975,0.025
463,0.9625,0.0375
464,0.975,0.025
465,0.95,0.05
466,0.825,0.175
467,0.9125,0.0875
468,0.95,0.05
469,0.95,0.05
470,0.975,0.025
471,0.9625,0.0375
472,0.975,0.025
473,0.9125,0.0875
474,0.9625,0.0375
475,0.9625,0.0375
476,0.975,0.025
477,0.9625,0.0375
478,0.9625,0.0375
479,0.9625,0.0375
480,0.975,0.025
481,0.925,0.075
482,0.9125,0.0875
483,0.95,0.05
484,0.9375,0.0625
485,0.9625,0.0375
486,0.975,0.025
487,0.9625,0.0375
488,0.975,0.025
489,0.975,0.025
490,0.975,0.025
491,0.9625,0.0375
492,0.9625,0.0375
493,0.975,0.025
494,0.975,0.025
495,0.975,0.025
496,0.975,0.025
497,0.9625,0.0375
498,0.95,0.05
499,0.9875,0.0125
500,0.9625,0.0375
501,0.975,0.025
502,0.9625,0.0375
503,0.9125,0.0875
504,0.975,0.025
505,0.8875,0.1125
506,0.9625,0.0375
507,0.9375,0.0625
508,0.95,0.05
509,0.9625,0.0375
510,0.95,0.05
511,0.9125,0.0875
512,0.975,0.025
513,0.9625,0.0375
514,0.9625,0.0375
515,0.8875,0.1125
516,0.925,0.075
517,0.975,0.025
518,0.9625,0.0375
519,0.9625,0.0375
520,0.975,0.025
521,0.9625,0.0375
522,0.975,0.025
523,0.9625,0.0375
524,0.9625,0.0375
525,0.975,0.025
526,0.975,0.025
527,0.975,0.025
528,0.975,0.025
529,0.975,0.025
530,0.95,0.05
531,0.9625,0.0375
532,0.9125,0.0875
533,0.9875,0.0125
534,0.925,0.075
535,0.9625,0.0375
536,0.9625,0.0375
537,0.95,0.05
538,0.95,0.05
539,0.925,0.075
540,0.9,0.1
541,0.95,0.05
542,0.9875,0.0125
543,0.9875,0.0125
544,0.975,0.025
545,0.9375,0.0625
546,0.925,0.075
547,0.9875,0.0125
548,0.95,0.05
549,0.975,0.025
550,0.975,0.025
551,0.9375,0.0625
552,0.9625,0.0375
553,0.9625,0.0375
554,0.9625,0.0375
555,0.975,0.025
556,0.9625,0.0375
557,0.925,0.075
558,0.95,0.05
559,0.9625,0.0375
560,0.9875,0.0125
561,0.9875,0.0125
562,0.95,0.05
563,0.9625,0.0375
564,0.975,0.025
565,0.9375,0.0625
566,0.975,0.025
567,0.975,0.025
568,0.975,0.025
569,0.975,0.025
570,0.9625,0.0375
571,0.9625,0.0375
572,0.975,0.025
573,0.9625,0.0375
574,0.95,0.05
575,0.9625,0.0375
576,0.9625,0.0375
577,0.9625,0.0375
578,0.95,0.05
579,0.9875,0.0125
580,0.95,0.05
581,0.975,0.025
582,0.9625,0.0375
583,0.9625,0.0375
584,0.95,0.05
585,0.9625,0.0375
586,0.9625,0.0375
587,0.975,0.025
588,0.9625,0.0375
589,0.9375,0.0625
590,0.975,0.025
591,0.9625,0.0375
592,0.975,0.025
593,0.9625,0.0375
594,0.95,0.05
595,0.975,0.025
596,0.9375,0.0625
597,0.95,0.05
598,0.9625,0.0375
599,0.95,0.05
600,0.9625,0.0375
601,0.95,0.05
602,0.9625,0.0375
603,0.975,0.025
604,0.9625,0.0375
605,0.975,0.025
606,0.9625,0.0375
607,0.9625,0.0375
608,0.95,0.05
609,0.975,0.025
610,0.95,0.05
611,0.9625,0.0375
612,0.8875,0.1125
613,0.975,0.025
614,0.9625,0.0375
615,0.975,0.025
616,0.975,0.025
617,0.95,0.05
618,0.975,0.025
619,0.9625,0.0375
620,0.975,0.025
621,0.9625,0.0375
622,0.9625,0.0375
623,0.975,0.025
624,0.95,0.05
625,0.925,0.075
626,0.95,0.05
627,0.975,0.025
628,0.975,0.025
629,0.975,0.025
630,0.95,0.05
631,0.95,0.05
632,0.9875,0.0125
633,0.9625,0.0375
634,0.95,0.05
635,0.975,0.025
636,0.975,0.025
637,0.95,0.05
638,0.975,0.025
639,0.95,0.05
640,0.9625,0.0375
641,0.9375,0.0625
642,0.975,0.025
643,0.9875,0.0125
644,0.9625,0.0375
645,0.9625,0.0375
646,0.975,0.025
647,0.9875,0.0125
648,0.95,0.05
649,0.9125,0.0875
650,0.975,0.025
651,0.975,0.025
652,0.975,0.025
653,0.975,0.025
654,0.9625,0.0375
655,0.9375,0.0625
656,0.975,0.025
657,0.9625,0.0375
658,0.9875,0.0125
659,0.9625,0.0375
660,0.9625,0.0375
661,0.95,0.05
662,0.9625,0.0375
663,0.9625,0.0375
664,0.95,0.05
665,0.9625,0.0375
666,0.975,0.025
667,0.95,0.05
668,0.9625,0.0375
669,0.95,0.05
670,0.9125,0.0875
671,0.975,0.025
672,0.9625,0.0375
673,0.95,0.05
674,0.9625,0.0375
675,0.975,0.025
676,0.9625,0.0375
677,0.9625,0.0375
678,0.975,0.025
679,0.95,0.05
680,0.9375,0.0625
681,0.975,0.025
682,0.9375,0.0625
683,0.9875,0.0125
684,0.9625,0.0375
685,0.925,0.075
686,0.925,0.075
687,0.9625,0.0375
688,0.9375,0.0625
689,0.975,0.025
690,0.95,0.05
691,0.8875,0.1125
692,0.9375,0.0625
693,0.975,0.025
694,0.95,0.05
695,0.975,0.025
696,0.9625,0.0375
697,0.9625,0.0375
698,0.925,0.075
699,0.9625,0.0375
700,0.9625,0.0375
701,0.975,0.025
702,0.975,0.025
703,0.9875,0.0125
704,0.95,0.05
705,0.8875,0.1125
706,0.95,0.05
707,0.9125,0.0875
708,0.9625,0.0375
709,0.9625,0.0375
710,0.9375,0.0625
711,0.9625,0.0375
712,0.9625,0.0375
713,0.95,0.05
714,0.95,0.05
715,0.95,0.05
716,0.975,0.025
717,0.9375,0.0625
718,0.95,0.05
719,0.975,0.025
720,0.9625,0.0375
721,0.95,0.05
722,0.95,0.05
723,0.9375,0.0625
724,0.95,0.05
725,0.95,0.05
726,0.975,0.025
727,0.9375,0.0625
728,0.975,0.025
729,0.975,0.025
730,0.975,0.025
731,0.9625,0.0375
732,0.95,0.05
733,0.9625,0.0375
734,0.95,0.05
735,0.975,0.025
736,0.9875,0.0125
737,0.9625,0.0375
738,0.975,0.025
739,0.9625,0.0375
740,0.9625,0.0375
741,0.975,0.025
742,0.95,0.05
743,0.975,0.025
744,0.9375,0.0625
745,0.9875,0.0125
746,0.9875,0.0125
747,0.9625,0.0375
748,0.85,0.15
749,0.9375,0.0625
750,0.975,0.025
751,0.975,0.025
752,0.9375,0.0625
753,0.9625,0.0375
754,0.975,0.025
755,0.9625,0.0375
756,0.9875,0.0125
757,0.95,0.05
758,0.9625,0.0375
759,0.9625,0.0375
760,0.975,0.025
761,0.975,0.025
762,0.9375,0.0625
763,0.9625,0.0375
764,0.95,0.05
765,0.975,0.025
766,0.9625,0.0375
767,0.975,0.025
768,0.975,0.025
769,0.95,0.05
770,0.9375,0.0625
771,0.9625,0.0375
772,0.95,0.05
773,0.95,0.05
774,0.975,0.025
775,0.9625,0.0375
776,0.975,0.025
777,0.95,0.05
778,0.975,0.025
779,0.95,0.05
780,0.95,0.05
781,0.95,0.05
782,0.9625,0.0375
783,0.9625,0.0375
784,0.95,0.05
785,0.9625,0.0375
786,0.9625,0.0375
787,0.975,0.025
788,0.9625,0.0375
789,1.0,0.0
790,0.9625,0.0375
791,0.975,0.025
792,0.95,0.05
793,0.95,0.05
794,0.9625,0.0375
795,0.925,0.075
796,0.975,0.025
797,0.95,0.05
798,0.95,0.05
799,0.9625,0.0375
800,0.95,0.05
801,0.9875,0.0125
802,0.9625,0.0375
803,0.975,0.025
804,0.9625,0.0375
805,0.95,0.05
806,0.95,0.05
807,0.95,0.05
808,0.9625,0.0375
809,0.9625,0.0375
810,0.9625,0.0375
811,0.975,0.025
812,0.9625,0.0375
813,0.9625,0.0375
814,0.9625,0.0375
815,0.95,0.05
816,0.95,0.05
817,0.9625,0.0375
818,0.9,0.1
819,0.9625,0.0375
820,0.9625,0.0375
821,0.95,0.05
822,0.975,0.025
823,0.9625,0.0375
824,0.9625,0.0375
825,0.9625,0.0375
826,0.95,0.05
827,0.9625,0.0375
828,0.9625,0.0375
829,0.95,0.05
830,0.95,0.05
831,0.9625,0.0375
832,0.9875,0.0125
833,0.975,0.025
834,0.925,0.075
835,0.975,0.025
836,0.9625,0.0375
837,0.9875,0.0125
838,0.95,0.05
839,0.975,0.025
840,0.9625,0.0375
841,0.95,0.05
842,0.95,0.05
843,0.9375,0.0625
844,0.95,0.05
845,0.9625,0.0375
846,0.975,0.025
847,0.95,0.05
848,0.9875,0.0125
849,0.925,0.075
850,0.975,0.025
851,0.975,0.025
852,0.975,0.025
853,0.975,0.025
854,0.975,0.025
855,0.975,0.025
856,0.9125,0.0875
857,0.95,0.05
858,0.9375,0.0625
859,0.9625,0.0375
860,0.9625,0.0375
861,0.975,0.025
862,0.975,0.025
863,0.9625,0.0375
864,0.9625,0.0375
865,1.0,0.0
866,0.9875,0.0125
867,0.9375,0.0625
868,0.975,0.025
869,0.975,0.025
870,0.9,0.1
871,0.925,0.075
872,0.975,0.025
873,0.95,0.05
874,0.95,0.05
875,0.975,0.025
876,0.975,0.025
877,0.9625,0.0375
878,0.9625,0.0375
879,0.9625,0.0375
880,0.9625,0.0375
881,0.9625,0.0375
882,0.95,0.05
883,0.9,0.1
884,0.9375,0.0625
885,0.9375,0.0625
886,0.9375,0.0625
887,0.975,0.025
888,0.975,0.025
889,0.95,0.05
890,0.9625,0.0375
891,0.9625,0.0375
892,0.9625,0.0375
893,0.975,0.025
894,0.95,0.05
895,0.9625,0.0375
896,0.9625,0.0375
897,0.9625,0.0375
898,0.9875,0.0125
899,0.975,0.025
900,0.975,0.025
901,0.9625,0.0375
902,0.95,0.05
903,0.9625,0.0375
904,0.95,0.05
905,0.975,0.025
906,0.9375,0.0625
907,0.95,0.05
908,0.925,0.075
909,0.9375,0.0625
910,0.9875,0.0125
911,0.975,0.025
912,0.9625,0.0375
913,0.925,0.075
914,0.975,0.025
915,0.95,0.05
916,0.9625,0.0375
917,0.975,0.025
918,0.9625,0.0375
919,0.975,0.025
920,0.9375,0.0625
921,0.975,0.025
922,0.95,0.05
923,0.95,0.05
924,0.9625,0.0375
925,0.95,0.05
926,0.9625,0.0375
927,0.9875,0.0125
928,0.975,0.025
929,0.95,0.05
930,0.9375,0.0625
931,0.9625,0.0375
932,0.9625,0.0375
933,0.9625,0.0375
934,0.9375,0.0625
935,0.975,0.025
936,0.95,0.05
937,0.9625,0.0375
938,0.9875,0.0125
939,0.975,0.025
940,0.9625,0.0375
941,0.9625,0.0375
942,0.9625,0.0375
943,0.975,0.025
944,0.95,0.05
945,0.95,0.05
946,0.975,0.025
947,0.9625,0.0375
948,0.9625,0.0375
949,0.95,0.05
950,0.9625,0.0375
951,0.95,0.05
952,0.925,0.075
953,0.975,0.025
954,0.975,0.025
955,0.975,0.025
956,0.9,0.1
957,0.95,0.05
958,0.9625,0.0375
959,0.975,0.025
960,0.9375,0.0625
961,0.95,0.05
962,0.9625,0.0375
963,0.975,0.025
964,0.975,0.025
965,0.925,0.075
966,0.9375,0.0625
967,0.9875,0.0125
968,0.975,0.025
969,0.95,0.05
970,0.9625,0.0375
971,0.95,0.05
972,0.975,0.025
973,0.925,0.075
974,0.9875,0.0125
975,0.9625,0.0375
976,0.9625,0.0375
977,0.9875,0.0125
978,0.9625,0.0375
979,0.975,0.025
980,0.9125,0.0875
981,0.925,0.075
982,0.95,0.05
983,0.95,0.05
984,0.9875,0.0125
985,0.9625,0.0375
986,0.9625,0.0375
987,0.9125,0.0875
988,0.9625,0.0375
989,0.975,0.025
990,0.9625,0.0375
991,0.975,0.025
992,0.9625,0.0375
993,0.95,0.05
994,0.975,0.025
995,0.925,0.075
996,0.975,0.025
997,0.95,0.05
998,0.9625,0.0375
999,0.9375,0.0625
1000,0.975,0.025
1001,0.9375,0.0625
1002,0.9625,0.0375
1003,0.9125,0.0875
1004,0.925,0.075
1005,0.9625,0.0375
1006,0.975,0.025
1007,0.9875,0.0125
1008,0.975,0.025
1009,0.9625,0.0375
1010,0.9375,0.0625
1011,0.9625,0.0375
1012,0.9375,0.0625
1013,0.95,0.05
1014,0.9375,0.0625
1015,0.9625,0.0375
1016,0.975,0.025
1017,0.9625,0.0375
1018,0.975,0.025
1019,0.925,0.075
1020,0.9625,0.0375
1021,0.95,0.05
1022,0.975,0.025
1023,0.95,0.05
1024,0.975,0.025
1025,0.975,0.025
1026,0.975,0.025
1027,0.9625,0.0375
1028,0.975,0.025
1029,0.9625,0.0375
1030,0.925,0.075
1031,0.9625,0.0375
1032,0.95,0.05
1033,0.9625,0.0375
1034,0.95,0.05
1035,0.9875,0.0125
1036,0.9625,0.0375
1037,0.9625,0.0375
1038,0.95,0.05
1039,0.975,0.025
1040,0.9625,0.0375
1041,0.975,0.025
1042,0.975,0.025
1043,0.95,0.05
1044,0.975,0.025
1045,0.9625,0.0375
1046,0.9625,0.0375
1047,0.9625,0.0375
1048,0.9625,0.0375
1049,0.975,0.025
1050,0.95,0.05
1051,0.975,0.025
1052,0.9625,0.0375
1053,0.95,0.05
1054,0.9625,0.0375
1055,0.95,0.05
1056,0.9625,0.0375
1057,0.9625,0.0375
1058,0.975,0.025
1059,0.95,0.05
1060,0.95,0.05
1061,0.975,0.025
1062,0.9625,0.0375
1063,0.975,0.025
1064,0.9625,0.0375
1065,0.975,0.025
1066,0.95,0.05
1067,0.9625,0.0375
1068,0.95,0.05
1069,0.975,0.025
1070,0.9625,0.0375
1071,0.9375,0.0625
1072,0.95,0.05
1073,0.9625,0.0375
1074,0.95,0.05
1075,0.9375,0.0625
1076,0.95,0.05
1077,0.975,0.025
1078,0.975,0.025
1079,0.95,0.05
1080,0.95,0.05
1081,0.8875,0.1125
1082,0.975,0.025
1083,0.925,0.075
1084,0.975,0.025
1085,0.95,0.05
1086,0.975,0.025
1087,0.9375,0.0625
1088,0.9625,0.0375
1089,0.95,0.05
1090,0.95,0.05
1091,0.9625,0.0375
1092,0.975,0.025
1093,0.9625,0.0375
1094,0.95,0.05
1095,1.0,0.0
1096,0.95,0.05
1097,0.95,0.05
1098,0.975,0.025
1099,0.975,0.025
1100,0.95,0.05
1101,0.975,0.025
1102,0.975,0.025
1103,0.9625,0.0375
1104,0.975,0.025
1105,0.9625,0.0375
1106,0.95,0.05
1107,0.9625,0.0375
1108,0.9375,0.0625
1109,0.9875,0.0125
1110,0.9375,0.0625
1111,0.9625,0.0375
1112,0.975,0.025
1113,0.975,0.025
1114,0.975,0.025
1115,0.9625,0.0375
1116,0.9625,0.0375
1117,0.925,0.075
1118,0.95,0.05
1119,0.9375,0.0625
1120,0.975,0.025
1121,0.975,0.025
1122,0.9375,0.0625
1123,0.9375,0.0625
1124,0.9875,0.0125
1125,0.9625,0.0375
1126,0.975,0.025
1127,0.975,0.025
1128,0.9875,0.0125
1129,0.9375,0.0625
1130,0.95,0.05
1131,0.975,0.025
1132,0.9625,0.0375
1133,0.975,0.025
1134,0.975,0.025
1135,0.9875,0.0125
1136,0.9875,0.0125
1137,0.975,0.025
1138,0.9625,0.0375
1139,0.975,0.025
1140,0.9875,0.0125
1141,0.95,0.05
1142,0.9375,0.0625
1143,0.9625,0.0375
1144,0.975,0.025
1145,0.9875,0.0125
1146,0.925,0.075
1147,0.95,0.05
1148,0.9625,0.0375
1149,0.95,0.05
1150,0.975,0.025
1151,0.975,0.025
1152,0.925,0.075
1153,0.95,0.05
1154,0.9125,0.0875
1155,0.975,0.025
1156,0.9625,0.0375
1157,0.975,0.025
1158,0.9625,0.0375
1159,0.9625,0.0375
1160,0.9625,0.0375
1161,0.975,0.025
1162,0.9625,0.0375
1163,0.95,0.05
1164,0.95,0.05
1165,0.9875,0.0125
1166,0.975,0.025
1167,0.975,0.025
1168,0.95,0.05
1169,0.975,0.025
1170,0.9625,0.0375
1171,0.8875,0.1125
1172,0.95,0.05
1173,0.9625,0.0375
1174,0.9625,0.0375
1175,0.9625,0.0375
1176,0.9625,0.0375
1177,0.9625,0.0375
1178,0.975,0.025
1179,0.9875,0.0125
1180,0.975,0.025
1181,0.95,0.05
1182,0.95,0.05
1183,0.9625,0.0375
1184,0.975,0.025
1185,0.975,0.025
1186,0.975,0.025
1187,0.9375,0.0625
1188,0.9625,0.0375
1189,0.9375,0.0625
1190,0.95,0.05
1191,0.9625,0.0375
1192,0.95,0.05
1193,0.95,0.05
1194,0.95,0.05
1195,0.975,0.025
1196,0.95,0.05
1197,0.9375,0.0625
1198,0.9625,0.0375
1199,0.9875,0.0125
1200,0.975,0.025
1201,0.9375,0.0625
1202,0.975,0.025
1203,0.975,0.025
1204,0.925,0.075
1205,0.9875,0.0125
1206,0.9375,0.0625
1207,0.95,0.05
1208,0.975,0.025
1209,0.975,0.025
1210,0.9625,0.0375
1211,0.95,0.05
1212,0.8875,0.1125
1213,0.975,0.025
1214,0.9875,0.0125
1215,0.9375,0.0625
1216,0.95,0.05
1217,0.95,0.05
1218,0.95,0.05
1219,0.9625,0.0375
1220,0.975,0.025
1221,0.9125,0.0875
1222,0.95,0.05
1223,0.9625,0.0375
1224,0.95,0.05
1225,0.95,0.05
1226,0.9625,0.0375
1227,0.975,0.025
1228,0.925,0.075
1229,0.95,0.05
1230,0.95,0.05
1231,0.975,0.025
1232,0.975,0.025
1233,0.95,0.05
1234,0.9625,0.0375
1235,0.9625,0.0375
1236,0.975,0.025
1237,0.975,0.025
1238,0.9625,0.0375
1239,0.975,0.025
1240,0.9625,0.0375
1241,0.9625,0.0375
1242,0.9375,0.0625
1243,0.9625,0.0375
1244,0.9875,0.0125
1245,0.9625,0.0375
1246,0.95,0.05
1247,0.975,0.025
1248,0.975,0.025
1249,0.95,0.05
1250,0.975,0.025
1251,0.975,0.025
1252,0.9625,0.0375
1253,0.9625,0.0375
1254,0.975,0.025
1255,0.95,0.05
1256,0.95,0.05
1257,0.9625,0.0375
1258,0.975,0.025
1259,0.9875,0.0125
